Sub,Category,Dif,Time periods,Question,Answer
Leaders,Politics,1,2010s,How many times was Donald Trump impeached while President of the United States?,Two.
Chemistry,Science,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What element comes next in this series? Fluorine, chlorine, bromine...",Iodine.
Problems,Math,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the only number in the English language to have as many letters as its value?,Four.
Authors,Literature,3,1900-1950,What was author George Orwell's real name?,Eric Arthur Blair.
Teams,Sports,2,2020s,What team joined the National Hockey League in 2021?,The Seattle Kraken.
Celebrities,Pop culture,1,2020s,Who won the best actor Academy Award hours after slapping Chris Rock on stage?,Will Smith.
Athletes,Sports,1,"2010s, 2020s",Which two teams has Tom Brady played for in the National Football League?,The New England Patriots and the Tampa Bay Buccaneers.
Actors,Television,1,"1980s, 1990s",Who played Elaine Benes on the television series Seinfeld?,Julia Louis-Dreyfus.
Physics,Science,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Black holes evaporate by a theorized radiation process named after which scientist?,Stephen Hawking.
Artists,Music,3,"1990s, 2000s, 2010s, 2020s",Dani Filth is the singer of which popular metal band?,Cradle of Filth.
Terms,Technology,3,"1990s, 2000s, 2010s, 2020s","In the web coding world, what does CSS stand for?",Cascading Style Sheets.
Terms,Technology,4,"1990s, 2000s, 2010s, 2020s","In the web coding world, what does HTML stand for?",HyperText Markup Language.
Terms,Technology,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In computer programming, an object is an instance of what?",A class.
Instruments,Music,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the technical term for a guitar pick?,Plectrum.
Scientists,Science,5,1900-1950,Marie Curie-Sklodowska discovered which two elements?,Radium and polonium.
Scientists,Science,4,1900-1950,Who is the only person to have won Nobel Prizes in two different disciplines?,Marie Curie-Sklodowska. (In chemistry and physics)
Scientists,Science,5,1900-1950,How many Nobel Prizes did the Curie-Sklodowska family win in total?,Five.
Celebrities,Pop culture,3,"2000s, 2010s",Who was the owner of a private plane known as the Lolita Express?,Jeffrey Epstein.
Terms,Technology,4,"1990s, 2000s, 2010s, 2020s","In the electronics standards world, what does USB stand for?",Universal Serial Bus.
Advances,Technology,3,2010s,The development of which color of LED won a Nobel Prize in 2014?,Blue.
